DTYPE,code,displayValue,productCd,countryCd
CountryLookupValue,C190,Credit Manager,,IE
CountryLookupValue,C191,Crematorium Attendant,,IE
CountryLookupValue,C192,Crime Examiner,,IE
CountryLookupValue,C193,Crofter,,IE
CountryLookupValue,C194,Croupier,,IE
CountryLookupValue,C195,Crown Prosecutor,,IE
CountryLookupValue,C196,Curator,,IE
CountryLookupValue,C197,Currency Trader,,IE
CountryLookupValue,C198,Curtain Maker,,IE
CountryLookupValue,C199,Customer Advisor,,IE
CountryLookupValue,C200,Customer Liaison Officer,,IE
CountryLookupValue,C201,Customs and Excise Officer,,IE
CountryLookupValue,C202,Cutler,,IE
CountryLookupValue,C203,Cutter,,IE
CountryLookupValue,C204,Cycle Repairer,,IE
CountryLookupValue,D1,Dairy Engineer,,IE
CountryLookupValue,D2,Dairy Worker,,IE
CountryLookupValue,D3,Dance Teacher,,IE
CountryLookupValue,D4,Dancer,,IE
CountryLookupValue,D5,Dark Room Technician,,IE
CountryLookupValue,D6,Data Administrator,,IE
CountryLookupValue,D7,Data Co-Ordinator,,IE
CountryLookupValue,D8,Data Processor,,IE
CountryLookupValue,D9,Day Care Officer,,IE
CountryLookupValue,D10,Dealer - General,,IE
CountryLookupValue,D11,Debt Collector,,IE
CountryLookupValue,D12,Debt Counsellor,,IE
CountryLookupValue,D13,Decorator,,IE
CountryLookupValue,D14,Delivery Courier,,IE
CountryLookupValue,D15,Delivery Driver,,IE
CountryLookupValue,D16,Delivery Roundsman,,IE
CountryLookupValue,D17,Demolition Worker,,IE
CountryLookupValue,D18,Demonstrator,,IE
CountryLookupValue,D19,Dendrochronologist,,IE
CountryLookupValue,D20,Dental Assistant,,IE
CountryLookupValue,D21,Dental Hygienist,,IE
CountryLookupValue,D22,Dental Nurse,,IE
CountryLookupValue,D23,Dental Surgeon,,IE
CountryLookupValue,D24,Dental Technician,,IE
CountryLookupValue,D25,Dentist,,IE
CountryLookupValue,D26,Deputy Head Teacher,,IE
CountryLookupValue,D27,Deputy Manager,,IE
CountryLookupValue,D28,Deputy Principal,,IE
CountryLookupValue,D29,Dermatologist,,IE
CountryLookupValue,D30,Design Director,,IE
CountryLookupValue,D31,Design Engineer,,IE
CountryLookupValue,D32,Design Manager,,IE
CountryLookupValue,D33,Despatch Driver,,IE
CountryLookupValue,D34,Despatch Rider,,IE
CountryLookupValue,D35,Despatch Worker,,IE
CountryLookupValue,D36,Development Manager,,IE
CountryLookupValue,D37,Diamond Dealer,,IE
CountryLookupValue,D38,Diecaster,,IE
CountryLookupValue,D39,Dietician,,IE
CountryLookupValue,D40,Dinner Lady,,IE
CountryLookupValue,D41,Diplomat,,IE
CountryLookupValue,D42,Disc Jockey,,IE
CountryLookupValue,D43,Distillery Worker,,IE
CountryLookupValue,D44,Distribution Manager,,IE
CountryLookupValue,D45,District Nurse,,IE
CountryLookupValue,D46,District Valuer,,IE
CountryLookupValue,D47,Diver,,IE
CountryLookupValue,D48,Docker,,IE
